"id","name","pic","background_color"
"1","WIT STUDIO","http://www.witstudio.co.jp/assets/img/logo.png",""
"2","A-1 Pictures","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/A-1_Pictures_Logo.svg/400px-A-1_Pictures_Logo.svg.png","#5185c5"
"3","动画工房","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Doga_Kobo_Logo.svg/560px-Doga_Kobo_Logo.svg.png",""
"4","SILVER LINK.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Silver_Link_Logo.svg/440px-Silver_Link_Logo.svg.png",""
"5","8bit","http://8bit-studio.co.jp/wp/wp-content/themes/8bit-studio/img/common/logo.png",""
"6","J.C.STAFF","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/J.C.Staff_Logo.svg/480px-J.C.Staff_Logo.svg.png",""
"7","BONES","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Bones_logo.svg/440px-Bones_logo.svg.png",""
"8","Arvo Animation","https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Arvo_Animation_logo.svg/440px-Arvo_Animation_logo.svg.png",""
"9","TMS Entertainment","https://www.tms-e.co.jp/themes/tms/images/global/logo-pc.png",""
"10","Telecom Animation Film","https://www.tms-e.co.jp/themes/tms/images/global/logo-pc.png",""
"11","ENGI","https://engi-st.jp/wp-content/uploads/2018/05/logo_top.png",""
"12","CloverWorks","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/CloverWorks_Logo.svg/440px-CloverWorks_Logo.svg.png",""
"13","Science Saru","https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Science_SARU_logo.png/440px-Science_SARU_logo.png",""
"14","NUT","http://nutinc.jp/img/img_logo.png",""
"15","SUNRISE","https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Sunrise-Logo.svg/500px-Sunrise-Logo.svg.png",""
"16","MAPPA","https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/MAPPA_Logo.svg/400px-MAPPA_Logo.svg.png",""
